Date,NSA Value,SA Value
2018-11-30,225.191841,225.459733
2018-10-31,225.9133858,224.9880568
2018-09-30,226.6885841,224.7063286
2018-08-31,226.8774794,224.0476636
2018-07-31,226.2318287,222.9067001
2018-06-30,225.4914154,221.7831538
2018-05-31,224.2408825,220.9748387
2018-04-30,222.3519442,220.3852976
2018-03-31,219.8631648,219.4142751
2018-02-28,217.2367486,218.2998536
2018-01-31,215.8200455,217.5119906
2017-12-31,215.6044914,216.8968138
2017-11-30,215.4426063,215.6882074
2017-10-31,215.4044096,214.5157304
2017-09-30,215.159426,213.2701557
2017-08-31,214.8655427,212.1947096
2017-07-31,214.7005113,211.5033661
2017-06-30,214.4285506,210.8795425
2017-05-31,213.4803294,210.3951774
2017-04-30,210.8006434,209.0009674
2017-03-31,207.5832991,207.1929746
2017-02-28,205.2524688,206.2488244
2017-01-31,203.28019,204.8443995
2016-12-31,202.24314,203.4570733
2016-11-30,202.3929238,202.6236432
2016-10-31,202.6774052,201.8509908
2016-09-30,202.6443207,200.8445235
2016-08-31,202.1593783,199.6208554
2016-07-31,201.3018057,198.2243688
2016-06-30,200.2077248,196.8613036
2016-05-31,198.4711588,195.630489
2016-04-30,196.166707,194.5896126
2016-03-31,194.1369726,193.8303376
2016-02-29,192.0456164,193.0152331
2016-01-31,189.9902756,191.4136153
2015-12-31,189.0286301,190.1277848
2015-11-30,188.7336677,188.9624296
2015-10-31,188.1487218,187.4271443
2015-09-30,187.4097333,185.7458862
2015-08-31,187.2037736,184.8122368
2015-07-31,186.9754796,183.9978986
2015-06-30,185.6236549,182.4330556
2015-05-31,183.4880077,180.8358097
2015-04-30,181.3197869,179.93783
2015-03-31,179.1297563,178.9829694
2015-02-28,176.9061412,177.8792276
2015-01-31,175.3349745,176.6299435
2014-12-31,174.4485597,175.423125
2014-11-30,173.752594,174.0014022
2014-10-31,173.2365477,172.6231258
2014-09-30,172.7929082,171.2815496
2014-08-31,172.1170549,169.8461887
2014-07-31,171.3246464,168.4611504
2014-06-30,170.2139195,167.2020272
2014-05-31,168.3853947,165.9105825
2014-04-30,165.9372319,164.6987709
2014-03-31,163.1750489,163.1342326
2014-02-28,160.7534449,161.746453
2014-01-31,159.2110376,160.4035317
2013-12-31,158.1279918,158.975787
2013-11-30,157.2638118,157.5267471
2013-10-31,156.8030042,156.3088572
2013-09-30,156.2922424,154.9673966
2013-08-31,155.5852994,153.5127854
2013-07-31,154.6309334,151.9132078
2013-06-30,153.195597,150.3718994
2013-05-31,150.9717445,148.7217553
2013-04-30,148.055024,146.9667161
2013-03-31,145.1457179,145.1567519
2013-02-28,142.937493,143.8614185
2013-01-31,141.6328127,142.7304235
2012-12-31,140.7879096,141.5505492
2012-11-30,140.1622418,140.4274319
2012-10-31,139.5269403,139.1192108
2012-09-30,138.9453722,137.8126316
2012-08-31,138.7669512,136.9077855
2012-07-31,138.4351372,135.913872
2012-06-30,137.414342,134.7941924
2012-05-31,136.0420765,134.0388271
2012-04-30,134.395169,133.4214098
2012-03-31,132.4293793,132.4420646
2012-02-29,130.6434434,131.4894085
2012-01-31,129.7091482,130.7508676
2011-12-31,129.479271,130.2006364
2011-11-30,129.3431047,129.5901152
2011-10-31,129.3601752,128.9653484
2011-09-30,129.5310309,128.4662301
2011-08-31,130.0984411,128.3609039
2011-07-31,130.9524903,128.5323744
2011-06-30,130.9234497,128.364737
2011-05-31,129.967119,128.1152703
2011-04-30,129.049918,128.1651776
2011-03-31,128.3475011,128.3924609
2011-02-28,127.6205732,128.4341466
2011-01-31,127.1665004,128.2232935
2010-12-31,127.3170096,128.0529742
2010-11-30,127.6359231,127.8335159
2010-10-31,128.3117144,127.825066
2010-09-30,129.6818199,128.571818
2010-08-31,130.9344382,129.1289079
2010-07-31,131.8923504,129.4631011
2010-06-30,132.6787273,130.0985085
2010-05-31,132.5756824,130.796012
2010-04-30,131.5243169,130.6786057
2010-03-31,130.5332782,130.6739461
2010-02-28,130.0905782,130.9366997
2010-01-31,130.0673424,131.1460583
2009-12-31,130.4339705,131.1766803
2009-11-30,131.0620777,131.1533569
2009-10-31,131.5055047,130.8767558
2009-09-30,131.6397217,130.4416694
2009-08-31,131.858611,129.9931918
2009-07-31,132.1530789,129.7339754
2009-06-30,132.010956,129.5538507
2009-05-31,131.2605246,129.6169954
2009-04-30,130.2875481,129.5149034
2009-03-31,129.5136486,129.7198118
2009-02-28,128.9533979,129.7986035
2009-01-31,129.0754209,130.1101426
2008-12-31,130.1386187,130.8308694
2008-11-30,131.6893977,131.6677695
2008-10-31,133.4722829,132.7465158
2008-09-30,134.6745722,133.4019714
2008-08-31,135.4068601,133.4372414
2008-07-31,136.0990186,133.6488101
2008-06-30,136.088884,133.7166904
2008-05-31,135.0947639,133.5335567
2008-04-30,133.9639574,133.2278459
2008-03-31,133.3598869,133.587284
2008-02-29,132.9871823,133.8047082
2008-01-31,132.7615401,133.7320314
2007-12-31,132.7222277,133.3244306
2007-11-30,132.9772695,132.8532507
2007-10-31,133.2363653,132.4852137
2007-09-30,133.2810352,132.0222494
2007-08-31,133.6602365,131.7580914
2007-07-31,133.8320098,131.511269
2007-06-30,133.1228165,130.9714647
2007-05-31,132.041585,130.5899796
2007-04-30,130.6635647,129.9695246
2007-03-31,128.8759205,129.018003
2007-02-28,127.320161,128.027401
2007-01-31,126.2218798,127.066145
2006-12-31,125.5150671,125.9629319
2006-11-30,125.0565481,124.8757793
2006-10-31,124.4957021,123.8124971
2006-09-30,124.0874126,122.9341784
2006-08-31,123.6938407,121.9863803
2006-07-31,122.9246441,120.9147926
2006-06-30,121.84348,119.9831554
2006-05-31,120.3312777,119.067611
2006-04-30,118.7043433,118.1002387
2006-03-31,117.4003019,117.4535236
2006-02-28,116.0749167,116.6374786
2006-01-31,114.9314969,115.6188995
2005-12-31,114.4850981,114.7756209
2005-11-30,114.2457821,114.0216831
2005-10-31,113.7270538,113.1063812
2005-09-30,113.1459803,112.1228363
2005-08-31,112.5750418,111.1132361
2005-07-31,111.990022,110.2747988
2005-06-30,111.1586936,109.567446
2005-05-31,109.9662551,108.8366248
2005-04-30,108.7333409,108.1590432
2005-03-31,107.4228763,107.4082834
2005-02-28,106.1917839,106.6614013
2005-01-31,105.5254079,106.0815826
2004-12-31,105.4809726,105.6473005
2004-11-30,105.5082345,105.2677819
2004-10-31,105.2730331,104.7131964
2004-09-30,105.3511214,104.4291176
2004-08-31,105.6111086,104.3110403
2004-07-31,105.5850084,104.0548904
2004-06-30,105.1891614,103.7641223
2004-05-31,104.3770537,103.3334259
2004-04-30,103.560539,102.9926913
2004-03-31,102.8172796,102.7460587
2004-02-29,102.1676088,102.5459642
2004-01-31,101.9622929,102.4265224
2003-12-31,102.0586372,102.1558179
2003-11-30,102.200796,101.9627657
2003-10-31,102.3701652,101.8319557
2003-09-30,102.6083379,101.7487277
2003-08-31,102.6630825,101.4940988
2003-07-31,102.5019036,101.0905734
2003-06-30,102.5364452,101.2255071
2003-05-31,102.5481203,101.5289821
2003-04-30,102.273423,101.6587938
2003-03-31,101.8395296,101.6916209
2003-02-28,101.5708533,101.8582383
2003-01-31,101.6700319,102.0865509
2002-12-31,102.1199352,102.17478
2002-11-30,102.5223744,102.3016807
2002-10-31,102.7301602,102.2113682
2002-09-30,102.9792025,102.1806513
2002-08-31,103.2980629,102.193784
2002-07-31,103.540873,102.1701855
2002-06-30,103.4274832,102.143248
2002-05-31,102.9999389,101.9849472
2002-04-30,102.4996492,101.8532709
2002-03-31,101.9796115,101.7480049
2002-02-28,101.3374558,101.5235654
2002-01-31,100.8525918,101.2304671
2001-12-31,100.8398712,100.8780179
2001-11-30,101.2933206,101.1023719
2001-10-31,101.871903,101.3788384
2001-09-30,102.2563611,101.5113626
2001-08-31,102.6451548,101.6014944
2001-07-31,103.1092541,101.7899885
2001-06-30,103.2146643,101.9622815
2001-05-31,102.9187414,101.9205128
2001-04-30,102.5397928,101.8742038
2001-03-31,102.083767,101.7991824
2001-02-28,101.335728,101.4654863
2001-01-31,100.4772248,100.7995354
2000-12-31,100.0,100.0
2000-11-30,99.75032502,99.55784492
2000-10-31,99.20507861,98.75737875
2000-09-30,98.37147634,97.69466575
2000-08-31,97.67347832,96.68774356
2000-07-31,96.79504216,95.59851711
2000-06-30,95.56177917,94.43524359
2000-05-31,94.24179671,93.35238672
2000-04-30,92.76809047,92.1738439
2000-03-31,91.18855763,90.93001287
2000-02-29,89.72243471,89.81238857
2000-01-31,88.62591807,88.83848691
1999-12-31,87.5470987,87.50087929
1999-11-30,86.44779457,86.25045302
1999-10-31,85.74941743,85.38406585
1999-09-30,85.24729311,84.6734612
1999-08-31,84.66864236,83.81610447
