Date,Value
2017-12-31,216.182951
2017-11-30,215.82207275
2017-10-31,215.81866851
2017-09-30,214.548963
2017-08-31,215.01497786
2017-07-31,215.17827338
2017-06-30,214.93348761
2017-05-31,213.98942772
2017-04-30,211.43966658
2017-03-31,208.28728484
2017-02-28,205.93003724
2017-01-31,203.87567004
2016-12-31,202.66976265
2016-11-30,202.66682971
2016-10-31,202.95700659
2016-09-30,202.98798721
2016-08-31,202.51701597
2016-07-31,201.67123045
2016-06-30,200.63386299
2016-05-31,198.87451313
2016-04-30,196.46543558
2016-03-31,194.37044924
2016-02-29,192.24562696
2016-01-31,190.21749221
2015-12-31,189.31687937
2015-11-30,189.12309021
2015-10-31,188.70396427
2015-09-30,188.02926144
2015-08-31,187.7953238
2015-07-31,187.5020673
2015-06-30,186.03763663
2015-05-31,183.96291842
2015-04-30,181.88009503
2015-03-31,179.56683349
2015-02-28,177.22832802
2015-01-31,175.67774599
2014-12-31,174.90905032
2014-11-30,174.30931014
2014-10-31,173.70805698
2014-09-30,173.17017065
2014-08-31,172.49499119
2014-07-31,171.62849923
2014-06-30,170.36388632
2014-05-31,168.46996729
2014-04-30,166.08233836
2014-03-31,163.3259302
2014-02-28,160.90530615
2014-01-31,159.49215831
2013-12-31,158.58581468
2013-11-30,157.77797168
2013-10-31,157.17363574
2013-09-30,156.49180412
2013-08-31,155.70851964
2013-07-31,154.78033866
2013-06-30,153.43703553
2013-05-31,151.14219672
2013-04-30,148.12211184
2013-03-31,145.31424814
2013-02-28,143.19624658
2013-01-31,141.84957306
2012-12-31,140.94951621
2012-11-30,140.27422053
2012-10-31,139.62480178
2012-09-30,139.07605164
2012-08-31,138.88260838
2012-07-31,138.52596031
2012-06-30,137.4892734
2012-05-31,136.10063904
2012-04-30,134.45028165
2012-03-31,132.51557191
2012-02-29,130.78010745
2012-01-31,129.86357038
2011-12-31,129.57756194
2011-11-30,129.35606421
2011-10-31,129.3775006
2011-09-30,129.59927535
2011-08-31,130.14739168
2011-07-31,130.96157809
2011-06-30,130.92419706
2011-05-31,129.95556207
2011-04-30,129.02591548
2011-03-31,128.33684007
2011-02-28,127.66749777
2011-01-31,127.26902203
2010-12-31,127.38859248
2010-11-30,127.61692954
2010-10-31,128.25094049
2010-09-30,129.58560275
2010-08-31,130.82662754
2010-07-31,131.81759893
2010-06-30,132.62940377
2010-05-31,132.5784478
2010-04-30,131.56901851
2010-03-31,130.55218792
2010-02-28,130.08792634
2010-01-31,130.15167952
2009-12-31,130.63618112
2009-11-30,131.25929331
2009-10-31,131.6022779
2009-09-30,131.71204931
2009-08-31,132.06376304
2009-07-31,132.45580082
2009-06-30,132.26080124
2009-05-31,131.44782127
2009-04-30,130.49309428
2009-03-31,129.74556871
2009-02-28,129.21919608
2009-01-31,129.36948404
2008-12-31,130.43619515
2008-11-30,132.00078547
2008-10-31,133.74014075
2008-09-30,134.89053679
2008-08-31,135.5450323
2008-07-31,136.17251836
2008-06-30,136.21883424
2008-05-31,135.30957385
2008-04-30,134.20564085
2008-03-31,133.52353969
2008-02-29,133.10182437
2008-01-31,132.90506928
2007-12-31,132.88197651
2007-11-30,133.09917877
2007-10-31,133.28204978
2007-09-30,133.31910614
2007-08-31,133.77427931
2007-07-31,134.03017387
2007-06-30,133.3652535
2007-05-31,132.26091294
2007-04-30,130.90390078
2007-03-31,129.16159201
2007-02-28,127.53635125
2007-01-31,126.35445906
2006-12-31,125.60944175
2006-11-30,125.11314645
2006-10-31,124.56576776
2006-09-30,124.22957129
2006-08-31,123.81397655
2006-07-31,123.00918547
2006-06-30,121.9592288
2006-05-31,120.43938352
2006-04-30,118.7698836
2006-03-31,117.44242595
2006-02-28,116.15652681
2006-01-31,115.03703387
2005-12-31,114.56632506
2005-11-30,114.34859989
2005-10-31,113.80537357
2005-09-30,113.15678058
2005-08-31,112.57062549
2005-07-31,112.01247594
2005-06-30,111.20876514
2005-05-31,110.0484745
2005-04-30,108.82459039
2005-03-31,107.47887784
2005-02-28,106.1695243
2005-01-31,105.43596091
2004-12-31,105.42106273
2004-11-30,105.52003003
2004-10-31,105.26951361
2004-09-30,105.30850751
2004-08-31,105.62735701
2004-07-31,105.64177571
2004-06-30,105.18017178
2004-05-31,104.35955426
2004-04-30,103.61422457
2004-03-31,102.87516202
2004-02-29,102.22332494
2004-01-31,102.02037457
2003-12-31,102.12628185
2003-11-30,102.25308798
2003-10-31,102.38590569
2003-09-30,102.65627542
2003-08-31,102.72636467
2003-07-31,102.54674482
2003-06-30,102.59031149
2003-05-31,102.59835229
2003-04-30,102.30234849
2003-03-31,101.88143317
2003-02-28,101.67320211
2003-01-31,101.74399584
2002-12-31,102.1108074
2002-11-30,102.48900786
2002-10-31,102.70479102
2002-09-30,102.98277675
2002-08-31,103.31099893
2002-07-31,103.50634592
2002-06-30,103.39088067
2002-05-31,102.97876456
2002-04-30,102.42045749
2002-03-31,101.88765809
2002-02-28,101.30645636
2002-01-31,100.85402406
2001-12-31,100.8334253
2001-11-30,101.29519002
2001-10-31,101.8774212
2001-09-30,102.23712786
2001-08-31,102.61116621
2001-07-31,103.06495819
2001-06-30,103.19473741
2001-05-31,102.96134134
2001-04-30,102.60447425
2001-03-31,102.13230433
2001-02-28,101.35867819
2001-01-31,100.4776606
2000-12-31,100.0
2000-11-30,99.772765788
2000-10-31,99.210464464
2000-09-30,98.343137251
2000-08-31,97.647778133
2000-07-31,96.779304503
2000-06-30,95.541506337
2000-05-31,94.245088993
2000-04-30,92.745310067
2000-03-31,91.119800187
2000-02-29,89.695606465
2000-01-31,88.690142778
1999-12-31,87.616896891
1999-11-30,86.433556635
1999-10-31,85.711314325
1999-09-30,85.226902321
1999-08-31,84.64195658
1999-07-31,83.96611253
1999-06-30,83.138545039
1999-05-31,82.077591944
1999-04-30,81.131044222
1999-03-31,80.181773464
1999-02-28,79.108870238
1999-01-31,78.464794121
1998-12-31,78.214231664
1998-11-30,77.797511596
1998-10-31,77.342887906
1998-09-30,77.115254241
1998-08-31,76.874033167
1998-07-31,76.463997899
1998-06-30,75.987359212
1998-05-31,75.457183321
1998-04-30,74.855786342
1998-03-31,74.259470288
1998-02-28,73.7827703
1998-01-31,73.489317364
1997-12-31,73.262445425
1997-11-30,73.045722138
1997-10-31,72.835905611
1997-09-30,72.653928954
1997-08-31,72.552405874
1997-07-31,72.558612407
1997-06-30,72.533673468
1997-05-31,72.315873257
1997-04-30,72.012791104
1997-03-31,71.70967011
1997-02-28,71.455314834
1997-01-31,71.355879683
1996-12-31,71.44693293
1996-11-30,71.592493982
1996-10-31,71.651419991
1996-09-30,71.68741688
1996-08-31,71.721489645
1996-07-31,71.672082592
1996-06-30,71.537449109
1996-05-31,71.296095915
1996-04-30,70.906871945
1996-03-31,70.44539577
1996-02-29,70.100255187
1996-01-31,69.962617086
1995-12-31,69.835609046
1995-11-30,69.596855275
1995-10-31,69.514445842
1995-09-30,69.508268368
1995-08-31,69.232082963
1995-07-31,68.964302725
1995-06-30,68.737875139
1995-05-31,68.229704547
1995-04-30,67.690448502
1995-03-31,67.317330482
1995-02-28,67.025850841
1995-01-31,66.909135464
1994-12-31,66.996152245
1994-11-30,67.161669607
1994-10-31,67.21211496
1994-09-30,67.166419278
1994-08-31,67.174962596
1994-07-31,67.079028087
1994-06-30,66.792689666
1994-05-31,66.289135829
